Name,Skill,Position,Outside Perception,Affiliation,Confirmation Vote %,Years of Experience,Previous Government Service,Degree Level,Institution,Loyalty Score,Policy Priority,Generation,Gender,Home State,Military Service
[[Marco Rubio]],[[diplomacy]],Foreign Affairs,"Marco Rubio is widely regarded as a traditional foreign policy hawk with strong credentials on international affairs. His unanimous Senate confirmation (99-0) reflects broad respect for his experience, though some note the irony of his serving under Trump after their contentious 2016 primary battle. He is seen as bringing a more conventional diplomatic approach to the administration while adapting to Trump's 'America First' priorities.",Republican,100%,24,"U.S. Senator (Florida) 2011-2025, Florida House Speaker",JD,University of Miami,4,"China competition, Latin America",Gen X,Male,Florida,No
[[Marco Rubio]],[[legislative affairs]],Foreign Affairs,"Marco Rubio is widely regarded as a traditional foreign policy hawk with strong credentials on international affairs. His unanimous Senate confirmation (99-0) reflects broad respect for his experience, though some note the irony of his serving under Trump after their contentious 2016 primary battle. He is seen as bringing a more conventional diplomatic approach to the administration while adapting to Trump's 'America First' priorities.",Republican,100%,24,"U.S. Senator (Florida) 2011-2025, Florida House Speaker",JD,University of Miami,4,"China competition, Latin America",Gen X,Male,Florida,No
[[Marco Rubio]],[[public speaking]],Foreign Affairs,"Marco Rubio is widely regarded as a traditional foreign policy hawk with strong credentials on international affairs. His unanimous Senate confirmation (99-0) reflects broad respect for his experience, though some note the irony of his serving under Trump after their contentious 2016 primary battle. He is seen as bringing a more conventional diplomatic approach to the administration while adapting to Trump's 'America First' priorities.",Republican,100%,24,"U.S. Senator (Florida) 2011-2025, Florida House Speaker",JD,University of Miami,4,"China competition, Latin America",Gen X,Male,Florida,No
[[Marco Rubio]],[[Latin American relations]],Foreign Affairs,"Marco Rubio is widely regarded as a traditional foreign policy hawk with strong credentials on international affairs. His unanimous Senate confirmation (99-0) reflects broad respect for his experience, though some note the irony of his serving under Trump after their contentious 2016 primary battle. He is seen as bringing a more conventional diplomatic approach to the administration while adapting to Trump's 'America First' priorities.",Republican,100%,24,"U.S. Senator (Florida) 2011-2025, Florida House Speaker",JD,University of Miami,4,"China competition, Latin America",Gen X,Male,Florida,No
[[Scott Bessent]],[[Finance]],Economic Policy,"Scott Bessent is viewed as a highly credentialed Wall Street figure who brings significant financial expertise to the administration. As a former George Soros protégé turned Trump ally, he represents an interesting ideological journey. Markets generally view him favorably as a stabilizing influence, though progressives are skeptical of his Wall Street background and advocacy for tax cuts and deregulation.",Republican,70.1%,35,None,BA,Yale University,4,"Tax cuts, deregulation, tariff strategy",Gen X,Male,South Carolina,No
[[Scott Bessent]],[[hedge fund management]],Economic Policy,"Scott Bessent is viewed as a highly credentialed Wall Street figure who brings significant financial expertise to the administration. As a former George Soros protégé turned Trump ally, he represents an interesting ideological journey. Markets generally view him favorably as a stabilizing influence, though progressives are skeptical of his Wall Street background and advocacy for tax cuts and deregulation.",Republican,70.1%,35,None,BA,Yale University,4,"Tax cuts, deregulation, tariff strategy",Gen X,Male,South Carolina,No
[[Scott Bessent]],[[economic analysis]],Economic Policy,"Scott Bessent is viewed as a highly credentialed Wall Street figure who brings significant financial expertise to the administration. As a former George Soros protégé turned Trump ally, he represents an interesting ideological journey. Markets generally view him favorably as a stabilizing influence, though progressives are skeptical of his Wall Street background and advocacy for tax cuts and deregulation.",Republican,70.1%,35,None,BA,Yale University,4,"Tax cuts, deregulation, tariff strategy",Gen X,Male,South Carolina,No
[[Scott Bessent]],[[investment strategy]],Economic Policy,"Scott Bessent is viewed as a highly credentialed Wall Street figure who brings significant financial expertise to the administration. As a former George Soros protégé turned Trump ally, he represents an interesting ideological journey. Markets generally view him favorably as a stabilizing influence, though progressives are skeptical of his Wall Street background and advocacy for tax cuts and deregulation.",Republican,70.1%,35,None,BA,Yale University,4,"Tax cuts, deregulation, tariff strategy",Gen X,Male,South Carolina,No
[[Scott Bessent]],[[macroeconomics]],Economic Policy,"Scott Bessent is viewed as a highly credentialed Wall Street figure who brings significant financial expertise to the administration. As a former George Soros protégé turned Trump ally, he represents an interesting ideological journey. Markets generally view him favorably as a stabilizing influence, though progressives are skeptical of his Wall Street background and advocacy for tax cuts and deregulation.",Republican,70.1%,35,None,BA,Yale University,4,"Tax cuts, deregulation, tariff strategy",Gen X,Male,South Carolina,No
[[Pete Hegseth]],[[Military operations]],Defense & Security,"Pete Hegseth is one of the most controversial cabinet members, viewed by supporters as a combat veteran who will prioritize military readiness and by critics as dangerously inexperienced for leading the Pentagon. His confirmation was among the most contentious, with allegations of sexual misconduct and workplace issues. He is seen as a loyalist who will implement Trump's vision but lacks traditional defense secretary credentials.",Republican,50.5%,20,None,MPA,Harvard Kennedy School,5,"Military readiness, woke military policies",Millennial,Male,Minnesota,Yes
[[Pete Hegseth]],[[media communications]],Defense & Security,"Pete Hegseth is one of the most controversial cabinet members, viewed by supporters as a combat veteran who will prioritize military readiness and by critics as dangerously inexperienced for leading the Pentagon. His confirmation was among the most contentious, with allegations of sexual misconduct and workplace issues. He is seen as a loyalist who will implement Trump's vision but lacks traditional defense secretary credentials.",Republican,50.5%,20,None,MPA,Harvard Kennedy School,5,"Military readiness, woke military policies",Millennial,Male,Minnesota,Yes
[[Pete Hegseth]],[[veteran advocacy]],Defense & Security,"Pete Hegseth is one of the most controversial cabinet members, viewed by supporters as a combat veteran who will prioritize military readiness and by critics as dangerously inexperienced for leading the Pentagon. His confirmation was among the most contentious, with allegations of sexual misconduct and workplace issues. He is seen as a loyalist who will implement Trump's vision but lacks traditional defense secretary credentials.",Republican,50.5%,20,None,MPA,Harvard Kennedy School,5,"Military readiness, woke military policies",Millennial,Male,Minnesota,Yes
[[Pete Hegseth]],[[political commentary]],Defense & Security,"Pete Hegseth is one of the most controversial cabinet members, viewed by supporters as a combat veteran who will prioritize military readiness and by critics as dangerously inexperienced for leading the Pentagon. His confirmation was among the most contentious, with allegations of sexual misconduct and workplace issues. He is seen as a loyalist who will implement Trump's vision but lacks traditional defense secretary credentials.",Republican,50.5%,20,None,MPA,Harvard Kennedy School,5,"Military readiness, woke military policies",Millennial,Male,Minnesota,Yes
[[Pam Bondi]],[[Prosecution]],Justice & Legal Affairs,Pam Bondi is perceived as a loyal Trump ally with substantial prosecutorial experience as Florida's former Attorney General. Critics view her as overly partisan and point to past controversies including a Trump Foundation donation during a fraud investigation. Supporters see her as a tough prosecutor who will restore what they view as balance to the Justice Department after years of what they perceive as politicization.,Republican,54.0%,30,Florida Attorney General 2011-2019,JD,Stetson University,5,"Conservative legal agenda, prosecutorial reform",Gen X,Female,Florida,No
[[Pam Bondi]],[[legal strategy]],Justice & Legal Affairs,Pam Bondi is perceived as a loyal Trump ally with substantial prosecutorial experience as Florida's former Attorney General. Critics view her as overly partisan and point to past controversies including a Trump Foundation donation during a fraud investigation. Supporters see her as a tough prosecutor who will restore what they view as balance to the Justice Department after years of what they perceive as politicization.,Republican,54.0%,30,Florida Attorney General 2011-2019,JD,Stetson University,5,"Conservative legal agenda, prosecutorial reform",Gen X,Female,Florida,No
[[Pam Bondi]],[[state government]],Justice & Legal Affairs,Pam Bondi is perceived as a loyal Trump ally with substantial prosecutorial experience as Florida's former Attorney General. Critics view her as overly partisan and point to past controversies including a Trump Foundation donation during a fraud investigation. Supporters see her as a tough prosecutor who will restore what they view as balance to the Justice Department after years of what they perceive as politicization.,Republican,54.0%,30,Florida Attorney General 2011-2019,JD,Stetson University,5,"Conservative legal agenda, prosecutorial reform",Gen X,Female,Florida,No
[[Pam Bondi]],[[political advocacy]],Justice & Legal Affairs,Pam Bondi is perceived as a loyal Trump ally with substantial prosecutorial experience as Florida's former Attorney General. Critics view her as overly partisan and point to past controversies including a Trump Foundation donation during a fraud investigation. Supporters see her as a tough prosecutor who will restore what they view as balance to the Justice Department after years of what they perceive as politicization.,Republican,54.0%,30,Florida Attorney General 2011-2019,JD,Stetson University,5,"Conservative legal agenda, prosecutorial reform",Gen X,Female,Florida,No
[[Pam Bondi]],[[litigation]],Justice & Legal Affairs,Pam Bondi is perceived as a loyal Trump ally with substantial prosecutorial experience as Florida's former Attorney General. Critics view her as overly partisan and point to past controversies including a Trump Foundation donation during a fraud investigation. Supporters see her as a tough prosecutor who will restore what they view as balance to the Justice Department after years of what they perceive as politicization.,Republican,54.0%,30,Florida Attorney General 2011-2019,JD,Stetson University,5,"Conservative legal agenda, prosecutorial reform",Gen X,Female,Florida,No
[[Doug Burgum]],[[Business leadership]],Natural Resources & Energy,"Doug Burgum is generally viewed as a competent businessman and former governor who brings executive experience and energy sector knowledge. His overwhelming Senate confirmation (80-17) suggests bipartisan respect. He is seen as more moderate and pragmatic than some Trump appointees, focused on energy dominance and economic development while also chairing the National Energy Council.",Republican,82.5%,40,North Dakota Governor 2016-2024,MBA,Stanford University,4,"Energy dominance, fossil fuel development",Baby Boomer,Male,North Dakota,No
[[Doug Burgum]],[[technology]],Natural Resources & Energy,"Doug Burgum is generally viewed as a competent businessman and former governor who brings executive experience and energy sector knowledge. His overwhelming Senate confirmation (80-17) suggests bipartisan respect. He is seen as more moderate and pragmatic than some Trump appointees, focused on energy dominance and economic development while also chairing the National Energy Council.",Republican,82.5%,40,North Dakota Governor 2016-2024,MBA,Stanford University,4,"Energy dominance, fossil fuel development",Baby Boomer,Male,North Dakota,No
[[Doug Burgum]],[[energy policy]],Natural Resources & Energy,"Doug Burgum is generally viewed as a competent businessman and former governor who brings executive experience and energy sector knowledge. His overwhelming Senate confirmation (80-17) suggests bipartisan respect. He is seen as more moderate and pragmatic than some Trump appointees, focused on energy dominance and economic development while also chairing the National Energy Council.",Republican,82.5%,40,North Dakota Governor 2016-2024,MBA,Stanford University,4,"Energy dominance, fossil fuel development",Baby Boomer,Male,North Dakota,No
[[Doug Burgum]],[[state governance]],Natural Resources & Energy,"Doug Burgum is generally viewed as a competent businessman and former governor who brings executive experience and energy sector knowledge. His overwhelming Senate confirmation (80-17) suggests bipartisan respect. He is seen as more moderate and pragmatic than some Trump appointees, focused on energy dominance and economic development while also chairing the National Energy Council.",Republican,82.5%,40,North Dakota Governor 2016-2024,MBA,Stanford University,4,"Energy dominance, fossil fuel development",Baby Boomer,Male,North Dakota,No
[[Doug Burgum]],[[economic development]],Natural Resources & Energy,"Doug Burgum is generally viewed as a competent businessman and former governor who brings executive experience and energy sector knowledge. His overwhelming Senate confirmation (80-17) suggests bipartisan respect. He is seen as more moderate and pragmatic than some Trump appointees, focused on energy dominance and economic development while also chairing the National Energy Council.",Republican,82.5%,40,North Dakota Governor 2016-2024,MBA,Stanford University,4,"Energy dominance, fossil fuel development",Baby Boomer,Male,North Dakota,No
[[Brooke Rollins]],[[Policy development]],Agriculture & Rural Development,"Brooke Rollins is viewed as a conservative policy expert with deep ties to the Trump administration from his first term. She is seen as ideologically committed to conservative principles while being more institutionally experienced than some appointees. Critics view her as overly partisan, while supporters appreciate her focus on rural America and agricultural interests.",Republican,72.0%,25,White House Domestic Policy Council Director 2020-2021,JD,University of Texas,5,"Rural development, agricultural deregulation",Gen X,Female,Texas,No
[[Brooke Rollins]],[[legal affairs]],Agriculture & Rural Development,"Brooke Rollins is viewed as a conservative policy expert with deep ties to the Trump administration from his first term. She is seen as ideologically committed to conservative principles while being more institutionally experienced than some appointees. Critics view her as overly partisan, while supporters appreciate her focus on rural America and agricultural interests.",Republican,72.0%,25,White House Domestic Policy Council Director 2020-2021,JD,University of Texas,5,"Rural development, agricultural deregulation",Gen X,Female,Texas,No
[[Brooke Rollins]],[[conservative advocacy]],Agriculture & Rural Development,"Brooke Rollins is viewed as a conservative policy expert with deep ties to the Trump administration from his first term. She is seen as ideologically committed to conservative principles while being more institutionally experienced than some appointees. Critics view her as overly partisan, while supporters appreciate her focus on rural America and agricultural interests.",Republican,72.0%,25,White House Domestic Policy Council Director 2020-2021,JD,University of Texas,5,"Rural development, agricultural deregulation",Gen X,Female,Texas,No
[[Brooke Rollins]],[[agricultural policy]],Agriculture & Rural Development,"Brooke Rollins is viewed as a conservative policy expert with deep ties to the Trump administration from his first term. She is seen as ideologically committed to conservative principles while being more institutionally experienced than some appointees. Critics view her as overly partisan, while supporters appreciate her focus on rural America and agricultural interests.",Republican,72.0%,25,White House Domestic Policy Council Director 2020-2021,JD,University of Texas,5,"Rural development, agricultural deregulation",Gen X,Female,Texas,No
[[Brooke Rollins]],[[rural economics]],Agriculture & Rural Development,"Brooke Rollins is viewed as a conservative policy expert with deep ties to the Trump administration from his first term. She is seen as ideologically committed to conservative principles while being more institutionally experienced than some appointees. Critics view her as overly partisan, while supporters appreciate her focus on rural America and agricultural interests.",Republican,72.0%,25,White House Domestic Policy Council Director 2020-2021,JD,University of Texas,5,"Rural development, agricultural deregulation",Gen X,Female,Texas,No
[[Howard Lutnick]],[[Financial services]],Commerce & Trade,"Howard Lutnick is perceived as a powerful Wall Street figure who rebuilt Cantor Fitzgerald after 9/11, demonstrating resilience and leadership. However, he is also viewed as one of the least popular cabinet members according to recent reports, with concerns about potential conflicts of interest and his aggressive approach to trade policy. His business acumen is respected but his political judgment is questioned.",Republican,53.1%,40,None,BA,Haverford College,5,"Aggressive tariffs, trade protection",Baby Boomer,Male,New York,No
[[Howard Lutnick]],[[business management]],Commerce & Trade,"Howard Lutnick is perceived as a powerful Wall Street figure who rebuilt Cantor Fitzgerald after 9/11, demonstrating resilience and leadership. However, he is also viewed as one of the least popular cabinet members according to recent reports, with concerns about potential conflicts of interest and his aggressive approach to trade policy. His business acumen is respected but his political judgment is questioned.",Republican,53.1%,40,None,BA,Haverford College,5,"Aggressive tariffs, trade protection",Baby Boomer,Male,New York,No
[[Howard Lutnick]],[[crisis leadership]],Commerce & Trade,"Howard Lutnick is perceived as a powerful Wall Street figure who rebuilt Cantor Fitzgerald after 9/11, demonstrating resilience and leadership. However, he is also viewed as one of the least popular cabinet members according to recent reports, with concerns about potential conflicts of interest and his aggressive approach to trade policy. His business acumen is respected but his political judgment is questioned.",Republican,53.1%,40,None,BA,Haverford College,5,"Aggressive tariffs, trade protection",Baby Boomer,Male,New York,No
[[Howard Lutnick]],[[international trade]],Commerce & Trade,"Howard Lutnick is perceived as a powerful Wall Street figure who rebuilt Cantor Fitzgerald after 9/11, demonstrating resilience and leadership. However, he is also viewed as one of the least popular cabinet members according to recent reports, with concerns about potential conflicts of interest and his aggressive approach to trade policy. His business acumen is respected but his political judgment is questioned.",Republican,53.1%,40,None,BA,Haverford College,5,"Aggressive tariffs, trade protection",Baby Boomer,Male,New York,No
[[Howard Lutnick]],[[investment banking]],Commerce & Trade,"Howard Lutnick is perceived as a powerful Wall Street figure who rebuilt Cantor Fitzgerald after 9/11, demonstrating resilience and leadership. However, he is also viewed as one of the least popular cabinet members according to recent reports, with concerns about potential conflicts of interest and his aggressive approach to trade policy. His business acumen is respected but his political judgment is questioned.",Republican,53.1%,40,None,BA,Haverford College,5,"Aggressive tariffs, trade protection",Baby Boomer,Male,New York,No
[[Lori Chavez-DeRemer]],[[Labor relations]],Labor & Employment,"Lori Chavez-DeRemer is seen as an unusual Trump pick due to her relatively pro-labor stance and endorsement by the Teamsters union. Her appointment surprised many as she represents a more moderate Republican approach to labor issues. She received significant bipartisan support (67-32 confirmation), suggesting she is viewed as less ideological than other appointees and potentially a bridge-builder.",Republican,67.7%,15,U.S. House (Oregon) 2023-2025,Some college,No degree,3,"Labor-business cooperation, workforce training",Gen X,Female,Oregon,No
[[Lori Chavez-DeRemer]],[[small business management]],Labor & Employment,"Lori Chavez-DeRemer is seen as an unusual Trump pick due to her relatively pro-labor stance and endorsement by the Teamsters union. Her appointment surprised many as she represents a more moderate Republican approach to labor issues. She received significant bipartisan support (67-32 confirmation), suggesting she is viewed as less ideological than other appointees and potentially a bridge-builder.",Republican,67.7%,15,U.S. House (Oregon) 2023-2025,Some college,No degree,3,"Labor-business cooperation, workforce training",Gen X,Female,Oregon,No
[[Lori Chavez-DeRemer]],[[legislative affairs]],Labor & Employment,"Lori Chavez-DeRemer is seen as an unusual Trump pick due to her relatively pro-labor stance and endorsement by the Teamsters union. Her appointment surprised many as she represents a more moderate Republican approach to labor issues. She received significant bipartisan support (67-32 confirmation), suggesting she is viewed as less ideological than other appointees and potentially a bridge-builder.",Republican,67.7%,15,U.S. House (Oregon) 2023-2025,Some college,No degree,3,"Labor-business cooperation, workforce training",Gen X,Female,Oregon,No
[[Lori Chavez-DeRemer]],[[workforce development]],Labor & Employment,"Lori Chavez-DeRemer is seen as an unusual Trump pick due to her relatively pro-labor stance and endorsement by the Teamsters union. Her appointment surprised many as she represents a more moderate Republican approach to labor issues. She received significant bipartisan support (67-32 confirmation), suggesting she is viewed as less ideological than other appointees and potentially a bridge-builder.",Republican,67.7%,15,U.S. House (Oregon) 2023-2025,Some college,No degree,3,"Labor-business cooperation, workforce training",Gen X,Female,Oregon,No
[[Robert F. Kennedy Jr.]],[[Environmental law]],Health & Human Services,"Robert F. Kennedy Jr. is one of the most controversial cabinet members, viewed by critics as a dangerous purveyor of vaccine misinformation and conspiracy theories who could undermine public health. Supporters see him as a truth-teller challenging pharmaceutical industry influence and advocating for health freedom. His appointment has alarmed the medical establishment while energizing anti-establishment health activists.",Independent,52.0%,40,None,JD,University of Virginia,4,"Vaccine skepticism, chronic disease, food safety",Baby Boomer,Male,New York,No
[[Robert F. Kennedy Jr.]],[[public advocacy]],Health & Human Services,"Robert F. Kennedy Jr. is one of the most controversial cabinet members, viewed by critics as a dangerous purveyor of vaccine misinformation and conspiracy theories who could undermine public health. Supporters see him as a truth-teller challenging pharmaceutical industry influence and advocating for health freedom. His appointment has alarmed the medical establishment while energizing anti-establishment health activists.",Independent,52.0%,40,None,JD,University of Virginia,4,"Vaccine skepticism, chronic disease, food safety",Baby Boomer,Male,New York,No
[[Robert F. Kennedy Jr.]],[[writing]],Health & Human Services,"Robert F. Kennedy Jr. is one of the most controversial cabinet members, viewed by critics as a dangerous purveyor of vaccine misinformation and conspiracy theories who could undermine public health. Supporters see him as a truth-teller challenging pharmaceutical industry influence and advocating for health freedom. His appointment has alarmed the medical establishment while energizing anti-establishment health activists.",Independent,52.0%,40,None,JD,University of Virginia,4,"Vaccine skepticism, chronic disease, food safety",Baby Boomer,Male,New York,No
[[Robert F. Kennedy Jr.]],[[political activism]],Health & Human Services,"Robert F. Kennedy Jr. is one of the most controversial cabinet members, viewed by critics as a dangerous purveyor of vaccine misinformation and conspiracy theories who could undermine public health. Supporters see him as a truth-teller challenging pharmaceutical industry influence and advocating for health freedom. His appointment has alarmed the medical establishment while energizing anti-establishment health activists.",Independent,52.0%,40,None,JD,University of Virginia,4,"Vaccine skepticism, chronic disease, food safety",Baby Boomer,Male,New York,No
[[Robert F. Kennedy Jr.]],[[legal litigation]],Health & Human Services,"Robert F. Kennedy Jr. is one of the most controversial cabinet members, viewed by critics as a dangerous purveyor of vaccine misinformation and conspiracy theories who could undermine public health. Supporters see him as a truth-teller challenging pharmaceutical industry influence and advocating for health freedom. His appointment has alarmed the medical establishment while energizing anti-establishment health activists.",Independent,52.0%,40,None,JD,University of Virginia,4,"Vaccine skepticism, chronic disease, food safety",Baby Boomer,Male,New York,No
[[Scott Turner]],[[Community development]],Housing & Urban Development,"Scott Turner is viewed as a former NFL player turned community advocate with experience from Trump's first term. He is seen as bringing a faith-based approach to urban development and opportunity zones. While less controversial than some appointees, critics question whether his experience matches the scope of HUD's mission, while supporters appreciate his grassroots community focus.",Republican,55.6%,15,"White House Opportunity and Revitalization Council 2019-2021, Texas House",BA,University of Illinois,5,"Opportunity zones, faith-based housing",Gen X,Male,Texas,No
[[Scott Turner]],[[faith-based initiatives]],Housing & Urban Development,"Scott Turner is viewed as a former NFL player turned community advocate with experience from Trump's first term. He is seen as bringing a faith-based approach to urban development and opportunity zones. While less controversial than some appointees, critics question whether his experience matches the scope of HUD's mission, while supporters appreciate his grassroots community focus.",Republican,55.6%,15,"White House Opportunity and Revitalization Council 2019-2021, Texas House",BA,University of Illinois,5,"Opportunity zones, faith-based housing",Gen X,Male,Texas,No
[[Scott Turner]],[[sports leadership]],Housing & Urban Development,"Scott Turner is viewed as a former NFL player turned community advocate with experience from Trump's first term. He is seen as bringing a faith-based approach to urban development and opportunity zones. While less controversial than some appointees, critics question whether his experience matches the scope of HUD's mission, while supporters appreciate his grassroots community focus.",Republican,55.6%,15,"White House Opportunity and Revitalization Council 2019-2021, Texas House",BA,University of Illinois,5,"Opportunity zones, faith-based housing",Gen X,Male,Texas,No
[[Scott Turner]],[[urban policy]],Housing & Urban Development,"Scott Turner is viewed as a former NFL player turned community advocate with experience from Trump's first term. He is seen as bringing a faith-based approach to urban development and opportunity zones. While less controversial than some appointees, critics question whether his experience matches the scope of HUD's mission, while supporters appreciate his grassroots community focus.",Republican,55.6%,15,"White House Opportunity and Revitalization Council 2019-2021, Texas House",BA,University of Illinois,5,"Opportunity zones, faith-based housing",Gen X,Male,Texas,No
[[Scott Turner]],[[nonprofit management]],Housing & Urban Development,"Scott Turner is viewed as a former NFL player turned community advocate with experience from Trump's first term. He is seen as bringing a faith-based approach to urban development and opportunity zones. While less controversial than some appointees, critics question whether his experience matches the scope of HUD's mission, while supporters appreciate his grassroots community focus.",Republican,55.6%,15,"White House Opportunity and Revitalization Council 2019-2021, Texas House",BA,University of Illinois,5,"Opportunity zones, faith-based housing",Gen X,Male,Texas,No
[[Sean Duffy]],[[Legislative affairs]],Transportation & Infrastructure,"Sean Duffy is perceived as a former congressman and reality TV personality who brings legislative experience and media savvy. His strong Senate confirmation (77-22) suggests he is viewed as relatively mainstream and competent. He is seen as a Trump loyalist but with sufficient experience to manage the department effectively, though critics note his lack of deep transportation expertise.",Republican,77.8%,20,U.S. House (Wisconsin) 2011-2019,JD,William Mitchell College of Law,4,"Infrastructure investment, deregulation",Gen X,Male,Wisconsin,No
[[Sean Duffy]],[[media communications]],Transportation & Infrastructure,"Sean Duffy is perceived as a former congressman and reality TV personality who brings legislative experience and media savvy. His strong Senate confirmation (77-22) suggests he is viewed as relatively mainstream and competent. He is seen as a Trump loyalist but with sufficient experience to manage the department effectively, though critics note his lack of deep transportation expertise.",Republican,77.8%,20,U.S. House (Wisconsin) 2011-2019,JD,William Mitchell College of Law,4,"Infrastructure investment, deregulation",Gen X,Male,Wisconsin,No
[[Sean Duffy]],[[legal practice]],Transportation & Infrastructure,"Sean Duffy is perceived as a former congressman and reality TV personality who brings legislative experience and media savvy. His strong Senate confirmation (77-22) suggests he is viewed as relatively mainstream and competent. He is seen as a Trump loyalist but with sufficient experience to manage the department effectively, though critics note his lack of deep transportation expertise.",Republican,77.8%,20,U.S. House (Wisconsin) 2011-2019,JD,William Mitchell College of Law,4,"Infrastructure investment, deregulation",Gen X,Male,Wisconsin,No
[[Sean Duffy]],[[public policy]],Transportation & Infrastructure,"Sean Duffy is perceived as a former congressman and reality TV personality who brings legislative experience and media savvy. His strong Senate confirmation (77-22) suggests he is viewed as relatively mainstream and competent. He is seen as a Trump loyalist but with sufficient experience to manage the department effectively, though critics note his lack of deep transportation expertise.",Republican,77.8%,20,U.S. House (Wisconsin) 2011-2019,JD,William Mitchell College of Law,4,"Infrastructure investment, deregulation",Gen X,Male,Wisconsin,No
